# $ this file belongs to the Molcas repository $
# this file defines aliases for basis set for.each atom
# Format:
#Basis_name Alias(real file)
#H.Ano-s   H.Ano-s...1s.
#

Cr.ANO-S-VDZ                             Cr.ANO-S...5s4p2d.
Cr.ANO-S-VDZP                            Cr.ANO-S...5s4p2d1f.
Cr.ANO-S-VTZP                            Cr.ANO-S...6s5p3d2f.
Mn.ANO-S-MB                              Mn.ANO-S...4s3p1d.
Mn.ANO-S-VDZ                             Mn.ANO-S...5s4p2d.
Mn.ANO-S-VDZP                            Mn.ANO-S...5s4p2d1f.
Mn.ANO-S-VTZP                            Mn.ANO-S...6s5p3d2f.
Fe.ANO-S-MB                              Fe.ANO-S...4s3p1d.
Fe.ANO-S-VDZ                             Fe.ANO-S...5s4p2d.
Fe.ANO-S-VDZP                            Fe.ANO-S...5s4p2d1f.
Fe.ANO-S-VTZP                            Fe.ANO-S...6s5p3d2f.
Co.ANO-S-MB                              Co.ANO-S...4s3p1d.
Co.ANO-S-VDZ                             Co.ANO-S...5s4p2d.
Co.ANO-S-VDZP                            Co.ANO-S...5s4p2d1f.
Co.ANO-S-VTZP                            Co.ANO-S...6s5p3d2f.
Ni.ANO-S-MB                              Ni.ANO-S...4s3p1d.
Ni.ANO-S-VDZ                             Ni.ANO-S...5s4p2d.
Ni.ANO-S-VDZP                            Ni.ANO-S...5s4p2d1f.
Ni.ANO-S-VTZP                            Ni.ANO-S...6s5p3d2f.
Cu.ANO-S-MB                              Cu.ANO-S...4s3p1d.
Cu.ANO-S-VDZ                             Cu.ANO-S...5s4p2d.
Cu.ANO-S-VDZP                            Cu.ANO-S...5s4p2d1f.
Cu.ANO-S-VTZP                            Cu.ANO-S...6s5p3d2f.
Zn.ANO-S-MB                              Zn.ANO-S...4s3p1d.
Zn.ANO-S-VDZ                             Zn.ANO-S...5s4p2d.
Zn.ANO-S-VDZP                            Zn.ANO-S...5s4p2d1f.
Zn.ANO-S-VTZP                            Zn.ANO-S...6s5p3d2f.
